"Category","ComponentType","ApiName","VisibleName","RequiredFor","Notes","LocalPath"
"Obligatorio","Apex Class","PSTA_AntiChurnDashboard_ctr","PSTA_AntiChurnDashboard_ctr","Controller del dashboard","Calcula KPIs, alcance por usuario y resuelve reportes","force-app/main/default/classes/PSTA_AntiChurnDashboard_ctr.cls"
"Obligatorio","Apex Class","PSTA_AntiChurnDashboard_ctr_tst","PSTA_AntiChurnDashboard_ctr_tst","Prueba","Prueba del controller del dashboard","force-app/main/default/classes/PSTA_AntiChurnDashboard_ctr_tst.cls"
"Obligatorio","Lightning Component Bundle","actAntiChurnDashboard","Dashboard Anti-Churn","UI","LWC principal del dashboard","force-app/main/default/lwc/actAntiChurnDashboard"
"Obligatorio","FlexiPage","P_gina_de_inicio_predeterminada","Home de Bancas","Ubicacion en Home","Agrega la pestana Dashboard Anti-Churn y referencia c:actAntiChurnDashboard","force-app/main/default/flexipages/P_gina_de_inicio_predeterminada.flexipage-meta.xml"
"Obligatorio","Custom Report Type","ACT_AntiChurn_Account_Activity_User__c","Anti Churn - Accounts, Activities and Users","Base de reportes","CRT de Activity con joins a Account y User","force-app/main/default/reportTypes/ACT_AntiChurn_Account_Activity_User.reportType-meta.xml"
"Obligatorio","Report Folder","AntiChurn","Anti Churn","Contenedor de reportes","Folder donde el Apex busca los reportes por FolderName = Anti Churn","force-app/main/default/reports/AntiChurn.reportFolder-meta.xml"
"Obligatorio","Report","AntiChurn/Clientes_con_alto_riesgo_de_fuga_hh1","Clientes con alto riesgo de fuga","Boton de reporte","Reporte de cuentas con riesgo alto; DeveloperName usado por Apex","force-app/main/default/reports/AntiChurn/Clientes_con_alto_riesgo_de_fuga_hh1.report-meta.xml"
"Obligatorio","Report","AntiChurn/Clientes_con_alto_riesgo_de_fuga_ANM","Actividades ANTI CHURN","Boton de reporte","Reporte de actividades Anti Churn; DeveloperName usado por Apex","force-app/main/default/reports/AntiChurn/Clientes_con_alto_riesgo_de_fuga_ANM.report-meta.xml"
"Permisos","Permission Set","CHURN_Account","CHURN_Account","Acceso","Da acceso a Apex, campos CHURN y RecordType Task.Anti_Churn","force-app/main/default/permissionsets/CHURN_Account.permissionset-meta.xml"
"Dependencia","Record Type","Task.Anti_Churn","Anti Churn","Filtro de datos","El Apex busca DeveloperName = Anti_Churn en Task",""
"Campo usado","Custom Field","Task.Resultado_de_Gestion__c","Resultado de Gestion","KPI","Actividades positivas, negativas, sin contacto y nulas",""
"Campo usado","Custom Field","Task.Motivo_de_fuga__c","Motivo de fuga","Grafica","Motivo de fuga identificado",""
"Campo usado","Custom Field","Task.Tiempo_promedio_de_contacto_CHURN__c","Tiempo promedio de contacto CHURN","KPI","Tiempo promedio de contacto",""
"Campo usado","Custom Field","Task.Fecha_de_contactacion__c","Fecha de contactacion","KPI y reporte","Usado por reportes y por el modelo de datos del dashboard",""
"Campo usado","Custom Field","Account.Indicador_de_Riesgo_Churn__c","Indicador de Riesgo Churn","KPI","Clientes en riesgo alto con actividad asignada",""
"Campo usado","Custom Field","Account.Semaforo_riesgo_fuga_churn__c","Semaforo riesgo fuga churn","Reporte","Visible en reportes",""
"Campo usado","Custom Field","Account.Probabilidad_Abandono__c","Probabilidad Abandono","Reporte","Visible en reportes y CRT","force-app/main/default/objects/Account/fields/Probabilidad_Abandono__c.field-meta.xml"
"Campo usado","Custom Field","Account.BanqueroAsignado__c","Banquero Asignado","Alcance","Filtro por sucursal via BranchUnitId del BBM","force-app/main/default/objects/Account/fields/BanqueroAsignado__c.field-meta.xml"
"Campo usado","Custom Field","Account.ID_ASESOR__c","ID ASESOR","Alcance","Filtro por asesor y equipo",""
"Campo usado","Custom Field","User.ID_ASESOR__c","ID ASESOR","Alcance","Define alcance por asesor y por arbol de rol",""
"Campo usado","Custom Field","User.F3_Sucursal__c","Sucursal","Fallback de alcance","Usado para resolver sucursal si no hay Banker directo",""
"Campo usado","Custom Field","User.REQ36_Centro_Financiero__c","Centro Financiero","Fallback de alcance","Usado para resolver BranchUnit por nombre",""
"Campo usado","Custom Field","User.F3_Division__c","Division","Reporte","Grouping del reporte por division del usuario propietario",""
"Dependencia","Standard/Custom Object","Banker.CurrentBranchId","Current Branch","Alcance","El Apex usa Banker para obtener la sucursal del usuario",""
"Dependencia","Standard/Custom Object","BranchUnit","BranchUnit","Alcance","Resolve por Id, Name, BranchCode, ExternalId__c y ExternalIdBI__c",""
