Type,Member,ExistsInProd,Action,Note
ApexClass,ACT_BusinessHoursHelper_cls,False,NEW,
ApexClass,ACT_BusinessHoursHelper_cls_Test,False,NEW,
ApexClass,ACT_BusinessHoursHelperDummyBatch_Test,False,NEW,
ApexClass,PSTA_FACCadenceCompletion_cls,False,NEW,
ApexClass,PSTA_MetaMensualDashboard_ctr,False,NEW,
ApexClass,PSTA_MetaMensualDashboard_ctr_tst,False,NEW,
ApexClass,PSTA_PostCargaPostventa_bch,False,NEW,
ApexClass,PSTA_PostCargaPostventa_cls,False,NEW,
ApexClass,PSTA_PostCargaPostventa_Request,False,NEW,
ApexClass,PSTA_PostCargaPostventa_sch,False,NEW,
ApexClass,PSTA_PostCargaPostventa_soql,False,NEW,
ApexClass,PSTA_PostCargaPostventaCadencias_qbl,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_bch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_cls,False,NEW,
ApexClass,PSTA_RegistroResumenGlobalMensual_sch,False,NEW,
ApexClass,PSTA_RegistroResumenGlobal_bch,True,MODIFY,
ApexClass,PSTA_RegistroResumenGlobal_bch_Test,True,MODIFY,
ApexClass,PSTA_RegistroResumenGlobal_sch,True,MODIFY,
ApexClass,PSTA_RegistroResumenGlobal_sch_tst,True,MODIFY,
ApexClass,PSTA_RResumenMensual_bch_tst,False,NEW,
ApexClass,PSTA_RResumenMensual_cls_tst,False,NEW,
ApexClass,PSTA_RResumenMensual_sch_tst,False,NEW,
ApexClass,PSTA_RResumenMes_thr,False,NEW,
ApexClass,PSTA_ResetearEstatusContacto_bch,True,MODIFY,
ApexClass,PSTA_ResetearEstatusContacto_bch_Test,True,MODIFY,
ApexClass,PSTA_ResetearEstatusContacto_sch,True,MODIFY,
ApexClass,PSTA_ResetearEstatusContacto_sch_tst,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicas,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicas_bch,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicas_bch_Test,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicas_sch,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicas_sch_Test,True,MODIFY,
ApexClass,PV_GenerarTareasPeriodicasSelector_cls,True,MODIFY,
ApexTrigger,ResumenGlobalPostventa_trg,False,NEW,
Flow,ACT_CrearTarea_OpptyStage_UpdateResumen,True,MODIFY,
Flow,ACT_CrearTarea_OpptyStage_UpdateResumenMensual,False,NEW,
Flow,PV_ActualizaResumenPostventa,True,MODIFY,
FlowDefinition,ACT_CrearTarea_OpptyStage_UpdateResumen,True,MODIFY,validated via Flow
FlowDefinition,ACT_CrearTarea_OpptyStage_UpdateResumenMensual,False,NEW,validated via Flow
FlowDefinition,PV_ActualizaResumenPostventa,True,MODIFY,validated via Flow
CustomField,ACT_BatchConfig__mdt.BusinessHoursName__c,False,NEW,
CustomField,Account.ID_Asesor__c,True,MODIFY,
CustomField,Contract.Status__c,True,MODIFY,
CustomField,Opportunity.FechaContactoOpp__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.ContactadosMensual__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.ExternalId_Nomina__c,True,MODIFY,
CustomField,ResumenGlobalPostventa__c.ExternalId_NominaFecha__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.MetaMensual__c,False,NEW,
CustomField,ResumenGlobalPostventa__c.PorcentajeAvanceMensual__c,False,NEW,
CustomMetadata,ACT_BatchConfig.PSTA_RegistroResumenGlobal,False,NEW,manual in change set context
CustomMetadata,ACT_BatchConfig.PSTA_ResetearEstatusContacto,False,NEW,manual in change set context
CustomMetadata,ACT_BatchConfig.PV_GenerarTareasPeriodicas,False,NEW,manual in change set context
CustomObject,ACT_BatchConfig__mdt,False,NEW,
Layout,ACT_BatchConfig__mdt-ACT Batch Config Layout,False,NEW,
PermissionSet,AdministradorPostventa,True,MODIFY,
PermissionSet,BanqueroPostventa,True,MODIFY,
PermissionSet,Control_Tareas_Postventa,False,NEW,
PermissionSet,DirectorPostventa,True,MODIFY,
ReportType,OportunidadesConPolizas,True,MODIFY,
ReportType,Reporte_Resumen_Global_PostVenta,True,MODIFY,
ReportFolder,Postventa,True,MODIFY,
Report,Postventa/Copy_of_Categoras_de_contacto_56G,False,NEW,
Report,Postventa/Meta_mensual_Contactados_mBJ,False,NEW,
Report,Postventa/Meta_mensual_resumen_global,False,NEW,
Report,Postventa/Resumen_Global_Diario_Mensual,False,NEW,
DashboardFolder,Postventa,True,MODIFY,
Dashboard,Postventa/BOrPHuSRgxobFUGfBCNRiUgZHyZRDN,True,MODIFY,
Dashboard,Postventa/Estatus_contacto_clientes_resumen_global,False,NEW,
Dashboard,Postventa/fSZMSKeDwQsurNjEcFpHSwVhXTzuxy1,True,MODIFY,
Dashboard,Postventa/Meta_mensual_resumen_global,False,NEW,
