"Type","Name","MissingInProd","NewerInFullcopy","ProdLastModified","FullcopyLastModified","FullcopyModifiedBy"
"ApexClass","ACT_BusinessHoursHelper_cls","True","False",,"2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
"ApexClass","ACT_BusinessHoursHelper_cls_Test","True","False",,"2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
"ApexClass","ACT_BusinessHoursHelperDummyBatch_Test","True","False",,"2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
"ApexClass","ACT_CadenceReassignBatchAndCallout_tst","True","False",,"2026-04-24T18:59:54.000Z","Gerardo Bautista Serna"
"ApexClass","ACT_CadenceReassignCallout_cls","True","False",,"2026-04-24T18:59:54.000Z","Gerardo Bautista Serna"
"ApexClass","ACT_CadenceReassignQueue_cls","True","False",,"2026-04-24T20:32:03.000Z","Gerardo Bautista Serna"
"ApexClass","ACT_CadenceReassignQueue_cls_tst","True","False",,"2026-04-24T18:59:54.000Z","Gerardo Bautista Serna"
"ApexClass","ACT_CadenceReassignQueueBatch","True","False",,"2026-04-24T18:59:54.000Z","Gerardo Bautista Serna"
"ApexClass","ACT_CadenceReassignQueueScheduler","True","False",,"2026-04-24T18:59:54.000Z","Gerardo Bautista Serna"
"ApexClass","PSTA_Account_thr","False","True","2025-09-19T01:40:17.000Z","2026-04-24T20:32:03.000Z","Gerardo Bautista Serna"
"ApexClass","PSTA_FACCadenceCompletion_cls","True","False",,"2026-04-24T20:09:47.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_MetaMensualDashboard_ctr","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_MetaMensualDashboard_ctr_tst","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventa_bch","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventa_cls","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventa_Request","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventa_sch","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventa_soql","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_PostCargaPostventaCadencias_qbl","True","False",,"2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobal_bch","False","True","2025-10-13T19:15:23.000Z","2026-01-20T17:55:51.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobal_bch_Test","False","True","2025-10-13T19:15:23.000Z","2026-01-16T23:02:07.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobal_sch","False","True","2025-09-19T01:40:19.000Z","2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobal_sch_tst","False","True","2025-09-19T01:40:19.000Z","2026-01-23T22:49:31.000Z","Jon Beby Escamilla Acosta"
"ApexClass","PSTA_RegistroResumenGlobalMensual_bch","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobalMensual_cls","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RegistroResumenGlobalMensual_sch","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_ResetearEstatusContacto_bch","False","True","2025-09-19T01:40:19.000Z","2026-01-20T17:47:31.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_ResetearEstatusContacto_bch_Test","False","True","2025-09-19T01:40:19.000Z","2026-01-16T23:02:07.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_ResetearEstatusContacto_sch","False","True","2025-09-19T01:40:19.000Z","2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_ResetearEstatusContacto_sch_tst","False","True","2025-09-19T01:40:20.000Z","2026-01-23T22:49:31.000Z","Jon Beby Escamilla Acosta"
"ApexClass","PSTA_RResumenMensual_bch_tst","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RResumenMensual_cls_tst","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RResumenMensual_sch_tst","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PSTA_RResumenMes_thr","True","False",,"2026-04-24T18:34:23.000Z","Francisco Ortega Frias"
"ApexClass","PV_GenerarTareasPeriodicas","False","True","2025-09-19T01:40:21.000Z","2026-04-24T20:15:57.000Z","Francisco Ortega Frias"
"ApexClass","PV_GenerarTareasPeriodicas_bch","False","True","2025-09-19T01:40:21.000Z","2026-01-20T17:51:04.000Z","Francisco Ortega Frias"
"ApexClass","PV_GenerarTareasPeriodicas_bch_Test","False","True","2025-09-19T01:40:21.000Z","2026-01-16T23:02:07.000Z","Francisco Ortega Frias"
"ApexClass","PV_GenerarTareasPeriodicas_sch","False","True","2025-09-19T01:40:21.000Z","2026-03-12T17:21:07.000Z","Francisco Ortega Frias"
